,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,anom_fraction,dataset
517,0.8778123343433136,0.9744745744144144,0.8470684706847069,0.8687973086627419,0.8264,7.181079149246216,Completed,DAE,50000,minmax,none,,0.02,0.07500000000000001,creditcard
518,0.8706441562001488,0.9746930363963966,0.8092985538586295,0.8204987667854207,0.7984,4.932652711868286,Completed,HST,50000,minmax,none,,,0.07500000000000001,creditcard
519,0.920869336708834,0.9827376144144143,0.8741524274477895,0.8893487858719646,0.8594666666666667,7.691821098327637,Completed,PW-AE,50000,minmax,none,,0.1,0.07500000000000001,creditcard
520,0.881561860703399,0.9747410565765766,0.8439164276935681,0.8648194794290512,0.824,7.234064340591431,Completed,DAE,50000,minmax,none,,0.02,0.07500000000000001,creditcard
521,0.8719452202252603,0.9718503985585586,0.8054046524585597,0.8431029454651502,0.7709333333333334,4.908953905105591,Completed,HST,50000,minmax,none,,,0.07500000000000001,creditcard
522,0.9190106461106177,0.9815520864864866,0.8691256830601093,0.8910364145658264,0.8482666666666666,7.757116079330444,Completed,PW-AE,50000,minmax,none,,0.1,0.07500000000000001,creditcard
523,0.8802383507500227,0.9750316396396396,0.8469664138678222,0.860484314804623,0.8338666666666666,7.17342209815979,Completed,DAE,50000,minmax,none,,0.02,0.07500000000000001,creditcard
524,0.8623365101048057,0.9706886342342342,0.8027038445289396,0.8504923903312444,0.76,4.873993158340454,Completed,HST,50000,minmax,none,,,0.07500000000000001,creditcard
525,0.9105943128064048,0.9802272445652175,0.8599489795918367,0.8778645833333333,0.84275,7.720237493515015,Completed,PW-AE,50000,minmax,none,,0.1,0.08,creditcard
526,0.8625770923238141,0.9689502608695653,0.833055733504164,0.8544021024967149,0.81275,7.195300579071045,Completed,DAE,50000,minmax,none,,0.02,0.08,creditcard
527,0.8546967878927872,0.971341570652174,0.7933693138010794,0.8162347964040191,0.77175,4.913811683654785,Completed,HST,50000,minmax,none,,,0.08,creditcard
528,0.9090086763695834,0.9737153804347826,0.866111467008328,0.8883048620236531,0.845,7.707568168640137,Completed,PW-AE,50000,minmax,none,,0.1,0.08,creditcard
529,0.8697095311298044,0.965967222826087,0.839067130524417,0.8657272002127094,0.814,7.22918963432312,Completed,DAE,50000,minmax,none,,0.02,0.08,creditcard
530,0.8175864251181855,0.9506524891304349,0.7618519545328528,0.8550093341630367,0.687,4.855518579483032,Completed,HST,50000,minmax,none,,,0.08,creditcard
531,0.9211000126019881,0.9805005217391306,0.8717627924433881,0.872526922113699,0.871,7.706386089324951,Completed,PW-AE,50000,minmax,none,,0.1,0.08,creditcard
532,0.8824483302346559,0.9733263695652173,0.845717234262126,0.8736673773987207,0.8195,7.185404300689697,Completed,DAE,50000,minmax,none,,0.02,0.08,creditcard
533,0.8928913658140087,0.9750822880434783,0.8159771754636235,0.8477499326327136,0.7865,4.86312460899353,Completed,HST,50000,minmax,none,,,0.08,creditcard
