,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,optimizer_fn,dataset
322,0.7262432938361257,0.9512515791230082,0.7251995438996579,0.6531264262893656,0.8151523782398177,24.286296129226685,Completed,DAE,50000,minmax,none,42,0.256,adam,shuttle
323,0.6991907530230488,0.9457204359126131,0.7204450625869262,0.6477944520236472,0.8114497294218171,24.281391382217407,Completed,DAE,50000,minmax,none,43,0.256,adam,shuttle
324,0.5861821536074823,0.9833731598871248,0.5857642940490082,0.7968253968253968,0.46309963099630996,11.107939004898071,Completed,AE,50000,minmax,none,42,0.001,sgd,covertype
325,0.5585531424620043,0.9771266282964903,0.5429638854296388,0.8352490421455939,0.4022140221402214,11.08246660232544,Completed,AE,50000,minmax,none,43,0.001,sgd,covertype
326,0.6564274196849229,0.9864023804013365,0.629086809470124,0.808695652173913,0.514760147601476,11.11710000038147,Completed,AE,50000,minmax,none,42,0.0020000000000000005,sgd,covertype
327,0.6409357537174144,0.984286790581117,0.6351351351351351,0.815028901734104,0.5202952029520295,11.125385522842407,Completed,AE,50000,minmax,none,43,0.0020000000000000005,sgd,covertype
328,0.7306807890338632,0.9899173460981243,0.6930693069306931,0.7478632478632479,0.6457564575645757,11.003683090209961,Completed,AE,50000,minmax,none,42,0.004000000000000001,sgd,covertype
329,0.7117455291857945,0.9894183950331558,0.6978723404255319,0.8241206030150754,0.6051660516605166,11.034030675888062,Completed,AE,50000,minmax,none,43,0.004000000000000001,sgd,covertype
330,0.7866949057583188,0.9921642113424654,0.725883476599809,0.7524752475247525,0.7011070110701108,10.80301284790039,Completed,AE,50000,minmax,none,42,0.008000000000000004,sgd,covertype
331,0.7721382295424106,0.9936284228789151,0.7289719626168224,0.833729216152019,0.6476014760147601,11.004374265670776,Completed,AE,50000,minmax,none,43,0.008000000000000004,sgd,covertype
332,0.7898816018141894,0.9937780895460295,0.7361853832442067,0.7120689655172414,0.7619926199261993,11.032034397125244,Completed,AE,50000,minmax,none,42,0.016,sgd,covertype
333,0.7779433989975436,0.995662912167154,0.7136150234741784,0.7265774378585086,0.7011070110701108,10.95393419265747,Completed,AE,50000,minmax,none,43,0.016,sgd,covertype
334,0.7455258541753188,0.9944079429875944,0.6804478897502154,0.6381260096930533,0.7287822878228782,10.862002849578857,Completed,AE,50000,minmax,none,42,0.03200000000000001,sgd,covertype
335,0.7324929016070201,0.9942399596869922,0.66728280961183,0.6685185185185185,0.6660516605166051,11.107054233551025,Completed,AE,50000,minmax,none,43,0.03200000000000001,sgd,covertype
336,0.6842108027498108,0.9899351404650767,0.6466729147141519,0.6571428571428571,0.6365313653136532,11.011984586715698,Completed,AE,50000,minmax,none,42,0.06399999999999999,sgd,covertype
337,0.7340735912918519,0.9913957334405322,0.6871508379888268,0.693609022556391,0.6808118081180812,10.992605686187744,Completed,AE,50000,minmax,none,43,0.06399999999999999,sgd,covertype
338,0.6339721908267314,0.9822958359390703,0.6205450733752621,0.7184466019417476,0.5461254612546126,10.938942909240723,Completed,AE,50000,minmax,none,42,0.128,sgd,covertype
339,0.74575429779217,0.9915340594628801,0.718139534883721,0.724202626641651,0.7121771217712177,10.873739242553711,Completed,AE,50000,minmax,none,43,0.128,sgd,covertype
340,0.5615244321157353,0.9659926891638199,0.5906735751295336,0.6737588652482269,0.525830258302583,10.829925537109375,Completed,AE,50000,minmax,none,42,0.256,sgd,covertype
341,0.6943603376668084,0.9880187580233196,0.6975425330812854,0.7151162790697675,0.6808118081180812,11.064077854156494,Completed,AE,50000,minmax,none,43,0.256,sgd,covertype
342,0.5679125505239412,0.9828095223812846,0.5407319952774499,0.7508196721311475,0.4225092250922509,19.63402557373047,Completed,PW-AE,50000,minmax,none,42,0.001,sgd,covertype
343,0.5013345158228933,0.9663228735283834,0.490566037735849,0.5311827956989247,0.45571955719557194,19.523162126541138,Completed,PW-AE,50000,minmax,none,43,0.001,sgd,covertype
344,0.5605557514245103,0.9805047974657838,0.5556805399325084,0.7118155619596542,0.45571955719557194,19.628488540649414,Completed,PW-AE,50000,minmax,none,42,0.0020000000000000005,sgd,covertype
345,0.5473695066025256,0.9767688384150613,0.5346294046172541,0.7829181494661922,0.4059040590405904,19.45211100578308,Completed,PW-AE,50000,minmax,none,43,0.0020000000000000005,sgd,covertype
346,0.620032396945809,0.9824271486679442,0.608793686583991,0.782608695652174,0.4981549815498155,19.710664987564087,Completed,PW-AE,50000,minmax,none,42,0.004000000000000001,sgd,covertype
347,0.6382457808816415,0.9842525075135502,0.6375442739079102,0.8852459016393442,0.4981549815498155,19.507885694503784,Completed,PW-AE,50000,minmax,none,43,0.004000000000000001,sgd,covertype
348,0.6869555488599384,0.9868318327123585,0.6535044422507404,0.70276008492569,0.6107011070110702,19.716581344604492,Completed,PW-AE,50000,minmax,none,42,0.008000000000000004,sgd,covertype
